Period,Avg_Intake,Avg_Transfers,Avg_Discharges,Avg_Transfer_Efficiency,Avg_Discharge_Effectiveness,Avg_Active_Load
Weekday,94.68813559322034,128.36101694915254,166.1949152542373,68.90203026192269,2.2710543737476208,6274.272881355932
Weekend,88.23846153846154,130.06153846153848,206.13846153846154,70.00825470797119,2.8395547756812345,6044.407692307693
