month,Intake,Transfers,Discharges,Avg_CBP_Custody,Avg_HHS_Care,Avg_Transfer_Efficiency,Avg_Discharge_Effectiveness,Avg_Active_Load,MoM_Intake_Change_%,MoM_Discharge_Change_%
2023-01,247.0,276.0,1856.0,43.875,7369.625,87.26991581843333,3.208428214483058,7413.5,,
2023-02,1886.0,2637.0,5183.0,171.31578947368422,7795.789473684211,86.98568405146287,3.503218693018031,7967.105263157895,663.5627530364372,179.25646551724137
2023-03,2479.0,3399.0,5375.0,245.10526315789474,7945.368421052632,75.23191721975161,3.5612961041669506,8190.473684210527,31.44220572640508,3.7044182905653145
2023-04,3129.0,3967.0,5668.0,250.1904761904762,7842.666666666667,77.437634053894,3.4435288820986405,8092.857142857143,26.22025010084712,5.451162790697683
2023-05,2746.0,3622.0,6256.0,216.95454545454547,8187.136363636364,84.73879236918809,3.4681348177039357,8404.09090909091,-12.240332374560559,10.374029640084693
2023-06,1774.0,2416.0,4029.0,145.65,6136.45,85.18819657290754,3.2703308249655123,6282.1,-35.39694100509833,-35.597826086956516
2023-07,2858.0,3897.0,4407.0,245.28571428571428,6828.0952380952385,78.54057808622886,3.0791827253115622,7073.380952380952,61.104847801578345,9.381980640357401
2023-08,2751.0,3587.0,6470.0,237.2,9347.9,77.46908664807071,3.4399210953307944,9585.1,-3.7438768369489117,46.81189017472202
2023-09,3194.0,3971.0,6546.0,291.05263157894734,10701.315789473685,74.47806789131056,3.2164033173357347,10992.368421052632,16.103235187204646,1.174652241112839
2023-10,1486.0,2049.0,7658.0,102.9090909090909,10205.318181818182,92.63402393593948,3.430588053617629,10308.227272727272,-53.475266123982465,16.987473266116716
2023-11,2299.0,3198.0,5992.0,183.5,9726.1,88.44411850935064,3.0898978516023448,9909.6,54.71063257065949,-21.755027422303474
2023-12,2207.0,3105.0,6804.0,186.6315789473684,11068.631578947368,89.15170369405331,3.2353187624585367,11255.263157894737,-4.001739886907352,13.551401869158886
2024-01,2097.0,2850.0,6496.0,170.5909090909091,8851.045454545454,81.44652437423551,3.348630666062703,9021.636363636364,-4.984141368373363,-4.526748971193417
2024-02,4517.0,6332.0,5273.0,441.6,8325.2,72.84019329912155,3.1744989247100355,8766.8,115.40295660467335,-18.826970443349754
2024-03,3377.0,5209.0,5678.0,321.1904761904762,8382.666666666666,79.45428030145112,3.239602923217784,8703.857142857143,-25.23798981624973,7.680637208420249
2024-04,3424.0,5178.0,4474.0,309.1818181818182,7027.136363636364,77.68550913136295,2.9092438067597044,7336.318181818182,1.3917678412792345,-21.204649524480445
2024-05,3493.0,5194.0,4336.0,345.76190476190476,7490.285714285715,73.69174119488432,2.7568440517611297,7836.047619047619,2.0151869158878455,-3.084488153777376
2024-06,3376.0,4882.0,4911.0,283.95238095238096,7407.523809523809,83.5818868653138,3.162067517488486,7691.476190476191,-3.3495562553678804,13.261070110701102
2024-07,2563.0,3679.0,3899.0,212.42857142857142,6286.333333333333,85.39916337270817,2.959421690379866,6498.761904761905,-24.08175355450237,-20.60680105884749
2024-08,2656.0,3546.0,3073.0,254.47368421052633,6004.263157894737,73.8490039996008,2.6986931526031124,6258.736842105263,3.6285602809208006,-21.184919210053867
2024-09,2783.0,3987.0,3692.0,239.22727272727272,6213.409090909091,77.0697761007171,2.702927175145129,6452.636363636364,4.781626506024095,20.14318255776115
2024-10,2736.0,3886.0,3194.0,243.42857142857142,6032.857142857143,78.81504474066985,2.5220534759558797,6276.285714285715,-1.688825008983108,-13.488624052004338
2024-11,2664.0,3414.0,3001.0,236.73684210526315,5914.684210526316,77.84508051102009,2.6738260243988843,6151.421052631579,-2.631578947368418,-6.042579837194739
2024-12,3480.0,4395.0,3662.0,271.72727272727275,6418.681818181818,77.59142327679719,2.5889874288914014,6690.409090909091,30.630630630630627,22.025991336221253
2025-01,1311.0,1750.0,3330.0,88.95454545454545,4991.090909090909,91.61441377615849,3.0515118143611484,5080.045454545455,-62.327586206896555,-9.066084107045336
2025-02,312.0,341.0,1160.0,22.68421052631579,2781.5263157894738,90.82462784546456,2.0587828139085347,2804.2105263157896,-76.20137299771167,-65.16516516516518
2025-03,169.0,190.0,309.0,21.454545454545453,2164.4545454545455,42.8995757168695,0.6402668985647598,2185.909090909091,-45.833333333333336,-73.36206896551725
2025-04,189.0,230.0,203.0,24.869565217391305,2273.1304347826085,43.057708293530645,0.3878404299086946,2298.0,11.834319526627212,-34.3042071197411
2025-05,217.0,252.0,205.0,32.833333333333336,2406.9444444444443,44.60045242486665,0.47344222740096487,2439.777777777778,14.814814814814813,0.9852216748768461
2025-06,123.0,138.0,281.0,19.058823529411764,2492.4117647058824,44.058480830313,0.6651836245850511,2511.470588235294,-43.31797235023041,37.07317073170733
2025-07,70.0,88.0,396.0,13.952380952380953,2187.190476190476,30.54496157437334,0.85531669248943,2201.1428571428573,-43.08943089430895,40.92526690391458
2025-08,107.0,147.0,254.0,25.6,2001.3,31.089105894251748,0.6349301355779746,2026.9,52.85714285714285,-35.858585858585855
2025-09,204.0,260.0,237.0,35.81818181818182,2082.2272727272725,34.34155488635737,0.5167966867024443,2118.0454545454545,90.65420560747664,-6.69291338582677
2025-10,168.0,263.0,242.0,34.333333333333336,2231.0476190476193,39.42387917853365,0.5174659649320786,2265.3809523809523,-17.647058823529417,2.1097046413502074
2025-11,129.0,182.0,159.0,34.78947368421053,2325.8947368421054,28.621734481262713,0.361365482373751,2360.684210526316,-23.214285714285708,-34.29752066115702
2025-12,116.0,124.0,144.0,36.2,2445.266666666667,25.630121575562786,0.3923013791907898,2481.4666666666667,-10.077519379844958,-9.433962264150942
